cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_connection	rust_const	notes
1180	SMSG_BROADCAST_SUMMON_CAST	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1181	SMSG_BROADCAST_SUMMON_RESPONSE	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1182	SMSG_BROADCAST_LEVELUP	0x2BBD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BroadcastLevelup	-
1183	SMSG_BUY_FAILED	0x26C7	STATUS_NEVER	CONNECTION_TYPE_REALM	BuyFailed	-
1184	SMSG_BUY_SUCCEEDED	0x26C6	STATUS_NEVER	CONNECTION_TYPE_REALM	BuySucceeded	-
1185	SMSG_CACHE_INFO	0x291D	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	CacheInfo	-
1186	SMSG_CACHE_VERSION	0x291C	STATUS_NEVER	CONNECTION_TYPE_REALM	CacheVersion	-
1187	SMSG_CALENDAR_CLEAR_PENDING_ACTION	0x269D	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarClearPendingAction	-
1188	SMSG_CALENDAR_COMMAND_RESULT	0x269E	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarCommandResult	-
1189	SMSG_CALENDAR_COMMUNITY_INVITE	0x268D	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarCommunityInvite	-
1190	SMSG_CALENDAR_EVENT_REMOVED_ALERT	0x2695	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarEventRemovedAlert	-
1191	SMSG_CALENDAR_EVENT_UPDATED_ALERT	0x2696	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarEventUpdatedAlert	-
1192	SMSG_CALENDAR_INVITE_ADDED	0x268E	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteAdded	-
1193	SMSG_CALENDAR_INVITE_ALERT	0x2692	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteAlert	-
1194	SMSG_CALENDAR_INVITE_NOTES	0x2697	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteNotes	-
1195	SMSG_CALENDAR_INVITE_NOTES_ALERT	0x2698	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteNotesAlert	-
1196	SMSG_CALENDAR_INVITE_REMOVED	0x268F	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteRemoved	-
1197	SMSG_CALENDAR_INVITE_REMOVED_ALERT	0x2694	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteRemovedAlert	-
1198	SMSG_CALENDAR_INVITE_STATUS	0x2690	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteStatus	-
1199	SMSG_CALENDAR_INVITE_STATUS_ALERT	0x2693	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarInviteStatusAlert	-
1200	SMSG_CALENDAR_MODERATOR_STATUS	0x2691	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarModeratorStatus	-
1201	SMSG_CALENDAR_RAID_LOCKOUT_ADDED	0x2699	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarRaidLockoutAdded	-
1202	SMSG_CALENDAR_RAID_LOCKOUT_REMOVED	0x269A	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarRaidLockoutRemoved	-
1203	SMSG_CALENDAR_RAID_LOCKOUT_UPDATED	0x269B	STATUS_NEVER	CONNECTION_TYPE_REALM	CalendarRaidLockoutUpdated	-
