cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_processing	cpp_handler	cpp_handler_file	cpp_handler_line	cpp_owner_doc	rust_const	rust_registered	rust_file	rust_handler	rust_status	rust_processing	notes
702	CMSG_OBJECT_UPDATE_FAILED	0x3183	STATUS_LOGGEDIN	PROCESS_INPLACE	HandleObjectUpdateFailedOpcode	game/Handlers/MiscHandler.cpp	1214	handlers.md	ObjectUpdateFailed	no	-	-	-	-	missing_rust_dispatch
703	CMSG_OBJECT_UPDATE_RESCUED	0x3184	STATUS_LOGGEDIN	PROCESS_INPLACE	HandleObjectUpdateRescuedOpcode	game/Handlers/MiscHandler.cpp	1229	handlers.md	ObjectUpdateRescued	no	-	-	-	-	missing_rust_dispatch
704	CMSG_OFFER_PETITION	0x32FD	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleOfferPetition	game/Handlers/PetitionsHandler.cpp	322	handlers.md	OfferPetition	no	-	-	-	-	missing_rust_dispatch
705	CMSG_OPENING_CINEMATIC	0x3543	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleOpeningCinematic	game/Handlers/CharacterHandler.cpp	2616	handlers.md	OpeningCinematic	no	-	-	-	-	missing_rust_dispatch
706	CMSG_OPEN_ITEM	0x32C6	STATUS_LOGGEDIN	PROCESS_INPLACE	HandleOpenItemOpcode	game/Handlers/SpellHandler.cpp	66	handlers.md	OpenItem	yes	crates/wow-world/src/handlers/spell.rs	handle_open_item	LoggedIn	Inplace	-
707	CMSG_OPEN_MISSION_NPC	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
708	CMSG_OPEN_SHIPMENT_NPC	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
709	CMSG_OPEN_TRADESKILL_NPC	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
710	CMSG_OPT_OUT_OF_LOOT	0x34F6	STATUS_LOGGEDIN	PROCESS_INPLACE	HandleOptOutOfLootOpcode	game/Handlers/GroupHandler.cpp	600	handlers.md	OptOutOfLoot	yes	crates/wow-world/src/handlers/group.rs	handle_opt_out_of_loot	LoggedIn	Inplace	-
711	CMSG_OVERRIDE_SCREEN_FLASH	0x351E	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	OverrideScreenFlash	yes	crates/wow-world/src/handlers/misc.rs	handle_override_screen_flash	LoggedIn	Inplace	cpp_unhandled_null,cpp_unhandled_registered_in_rust
712	CMSG_PARTY_INVITE	0x3604	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePartyInviteOpcode	game/Handlers/GroupHandler.cpp	58	handlers.md	PartyInvite	yes	crates/wow-world/src/handlers/group.rs	handle_party_invite	LoggedIn	ThreadUnsafe	-
713	CMSG_PARTY_INVITE_RESPONSE	0x3606	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePartyInviteResponseOpcode	game/Handlers/GroupHandler.cpp	187	handlers.md	PartyInviteResponse	yes	crates/wow-world/src/handlers/group.rs	handle_party_invite_response	LoggedIn	ThreadUnsafe	-
714	CMSG_PARTY_UNINVITE	0x364A	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePartyUninviteOpcode	game/Handlers/GroupHandler.cpp	257	handlers.md	PartyUninvite	no	-	-	-	-	missing_rust_dispatch
715	CMSG_PERFORM_ITEM_INTERACTION	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
