key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Rate.Creature.HP.Normal	worldserver:server/worldserver/worldserver.conf.dist:1889	worldserver=1	Float:server/game/World/World.cpp:664	Float=1.0f	RATE_CREATURE_HP_NORMAL		missing_in_rust	-
Rate.Creature.HP.Obsolete	worldserver:server/worldserver/worldserver.conf.dist:1892	worldserver=1	Float:server/game/World/World.cpp:667	Float=1.0f	RATE_CREATURE_HP_OBSOLETE		missing_in_rust	-
Rate.Creature.HP.Rare	worldserver:server/worldserver/worldserver.conf.dist:1893	worldserver=1	Float:server/game/World/World.cpp:668	Float=1.0f	RATE_CREATURE_HP_RARE		missing_in_rust	-
Rate.Creature.HP.RareElite	worldserver:server/worldserver/worldserver.conf.dist:1891	worldserver=1	Float:server/game/World/World.cpp:666	Float=1.0f	RATE_CREATURE_HP_RAREELITE		missing_in_rust	-
Rate.Creature.HP.Trivial	worldserver:server/worldserver/worldserver.conf.dist:1894	worldserver=1	Float:server/game/World/World.cpp:669	Float=1.0f	RATE_CREATURE_HP_TRIVIAL		missing_in_rust	-
Rate.Creature.SpellDamage.Elite	worldserver:server/worldserver/worldserver.conf.dist:1865	worldserver=1	Float:server/game/World/World.cpp:679	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_ELITE		missing_in_rust	-
Rate.Creature.SpellDamage.MinusMob	worldserver:server/worldserver/worldserver.conf.dist:1870	worldserver=1	Float:server/game/World/World.cpp:684	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_MINUSMOB		missing_in_rust	-
Rate.Creature.SpellDamage.Normal	worldserver:server/worldserver/worldserver.conf.dist:1864	worldserver=1	Float:server/game/World/World.cpp:678	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_NORMAL		missing_in_rust	-
Rate.Creature.SpellDamage.Obsolete	worldserver:server/worldserver/worldserver.conf.dist:1867	worldserver=1	Float:server/game/World/World.cpp:681	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_OBSOLETE		missing_in_rust	-
Rate.Creature.SpellDamage.Rare	worldserver:server/worldserver/worldserver.conf.dist:1868	worldserver=1	Float:server/game/World/World.cpp:682	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_RARE		missing_in_rust	-
Rate.Creature.SpellDamage.RareElite	worldserver:server/worldserver/worldserver.conf.dist:1866	worldserver=1	Float:server/game/World/World.cpp:680	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_RAREELITE		missing_in_rust	-
Rate.Creature.SpellDamage.Trivial	worldserver:server/worldserver/worldserver.conf.dist:1869	worldserver=1	Float:server/game/World/World.cpp:683	Float=1.0f	RATE_CREATURE_SPELLDAMAGE_TRIVIAL		missing_in_rust	-
Rate.Damage.Fall	worldserver:server/worldserver/worldserver.conf.dist:2551	worldserver=1	Float:server/game/World/World.cpp:689	Float=1.0f	RATE_DAMAGE_FALL		missing_in_rust	-
Rate.Drop.Item.Artifact	worldserver:server/worldserver/worldserver.conf.dist:2485	worldserver=1	Float:server/game/World/World.cpp:642	Float=1.0f	RATE_DROP_ITEM_ARTIFACT	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
Rate.Drop.Item.Epic	worldserver:server/worldserver/worldserver.conf.dist:2483	worldserver=1	Float:server/game/World/World.cpp:640	Float=1.0f	RATE_DROP_ITEM_EPIC	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
Rate.Drop.Item.Legendary	worldserver:server/worldserver/worldserver.conf.dist:2484	worldserver=1	Float:server/game/World/World.cpp:641	Float=1.0f	RATE_DROP_ITEM_LEGENDARY	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
